Discharge_ID,Formula_dcg,Gravimetric_Capacity_(mAh/g),Average_Voltage_(V),Number_of_Elements_dcg,a_dcg,alpha_dcg,Spacegroup_cg,sum_NpUnfilled_dcg,sum_GSbandgap_dcg,sum_SpaceGroupNumber_dcg,avg_MeltingT_dcg,avg_Row_dcg,avg_NsUnfilled_dcg,avg_GSvolume_pa_dcg,dev_Column_dcg,dev_Row_dcg,dev_CovalentRadius_dcg,dev_Electronegativity_dcg,dev_NpValence_dcg,dev_NsUnfilled_dcg,dev_NpUnfilled_dcg,dev_GSbandgap_dcg,max_MeltingT_dcg,max_NdValence_dcg,max_NpUnfilled_dcg,max_NUnfilled_dcg,Predicted_Fermi_Energy_dcg,Predicted_Band_Gap_dcg,Predicted_Formation_Energy_Per_Atom_dcg,Predicted_Final_Energy_Per_Atom_dcg
29356,Na3V24O58,146.679511274314,1.41166702655172,3,7.359853,102.098102,62,116,0,6879,666.858941176471,2.6,0.0352941176470588,10.9183529411753,4.96110726643599,0.818823529411765,38.3402076124568,0.818341868512111,1.73397923875433,0.0680968858131488,0.866989619377163,0,2183,3,2,7,3.95522689819336,0.920651197433472,-2.13167333602905,-6.795166015625
38257,NaMn7O12,80.7012539452792,1.96417833321839,3,6.448605,109.471221,129,24,0,1892,583.0735,2.75,0.05,10.59582183908,4.68,0.9,36.66,0.9444,1.92,0.095,0.96,0,1519,5,2,5,4.07640695571899,0.74499237537384,-1.09681439399719,-7.19601202011108
505090,Na2Ti3Fe(PO4)6,147.195723581845,2.47184106405173,5,8.931075,56.975243,62,66,9.75,1569,322.076111111111,2.44444444444444,0.0555555555555555,13.1452248677167,3.37037037037037,0.592592592592593,29.4074074074074,0.734444444444445,1.11111111111111,0.104938271604938,0.611111111111111,0.451388888888889,1941,6,3,8,1.43447387218475,1.78131675720215,-2.40404653549194,-6.49740648269653
505102,Na2(NbSe2)3,40.6254502273066,4.09920036655172,3,3.55844,90,2,12,4.794,1229,1086.88545454545,4.09090909090909,0.454545454545455,24.4133333333273,6.24793388429752,0.495867768595041,22.2148760330579,0.60396694214876,1.98347107438017,0.495867768595041,0.991735537190083,0.396198347107438,2750,10,2,7,1.67144680023193,1.33775842189789,-2.16566395759583,-7.5499210357666
532334,Na2V3O7,14.2736045387601,1.69715852155173,3,11.094235,90,130,14,0,1229,639.528333333333,2.66666666666667,0.166666666666667,13.4376388888833,6.125,0.777777777777778,44.8194444444444,1.01597222222222,1.94444444444444,0.277777777777778,0.972222222222222,0,2183,3,2,7,1.69954538345337,1.63515329360962,-2.54033350944519,-6.1724796295166
541674,Na3FePCO7,53.6261443066194,3.00892191155171,5,6.681292,89.387932,5,21,6.121,1196,572.885384615385,2.46153846153846,0.230769230769231,14.6465567765462,5.50295857988166,0.568047337278107,37.9408284023669,0.934437869822485,1.64497041420118,0.355029585798817,0.994082840236686,0.796816568047337,3823,6,4,4,2.87956976890564,0.935398459434509,-1.93992471694946,-6.09508180618286
542710,Na9Mn15O32,136.142488013705,3.18356841655173,3,6.040284,89.91935,62,64,0,5700,497.793392857143,2.69642857142857,0.160714285714286,12.7118534482714,5.51020408163265,0.795918367346939,40.7142857142857,1.03959183673469,1.95918367346939,0.269770408163265,0.979591836734694,0,1519,5,2,5,-0.0380728244781494,4.75571584701538,-1.65600454807282,-7.05977725982666
542864,Na7Cu7O13,132.38901012964,4.56883197155172,3,6.760048,99.255895,14,26,0,3334,474.551111111111,2.77777777777778,0.518518518518519,14.8354938271519,5.08916323731139,0.748971193415638,41.443072702332,1.01111111111111,1.99725651577503,0.499314128943759,0.998628257887517,0,1357.77,10,2,2,0.543409585952759,1.25388467311859,-2.6013331413269,-7.84301853179932
553997,Na2Mn(PO3)5,108.119012659743,5.51874889155173,4,13.742569,76.884625,11,45,8.125,865,203.010434782609,2.39130434782609,0.0869565217391304,13.8434975369348,2.89224952741021,0.510396975425331,27.1077504725898,0.746313799621928,0.964083175803402,0.158790170132325,0.510396975425331,0.552930056710775,1519,5,3,5,2.91174006462097,0.380171179771423,-2.15940952301025,-4.53934574127197
554777,Na3VPCO7,147.660761075106,3.82782650655172,5,8.979781,89.999792,14,21,6.121,1196,601.500769230769,2.46153846153846,0.230769230769231,14.8219413919308,5.82248520710059,0.568047337278107,39.9289940828402,0.951005917159763,1.64497041420118,0.355029585798817,0.994082840236686,0.796816568047337,3823,3,4,7,2.30415153503418,3.6451096534729,-2.25124979019165,-7.85038805007935
